feature,chrome,firefox,safari,interop
label,87.3,95.2,93.7,87.3
text-tracks,91.8,96.4,87.3,87.3
beforeunload,100.0,100.0,87.1,87.1
execcommand,92.6,96.4,87.1,87.1
url,87.1,96.1,99.7,87.1
js-modules,93.8,96.3,87.0,87.0
background-origin,92.1,94.7,86.8,86.8
viewport-units,99.2,86.9,86.8,86.8
input-email-tel-url,86.7,86.7,86.7,86.7
canvas-reset,100.0,91.9,86.5,86.5
form-validity-pseudos,100.0,86.5,86.5,86.5
mix-blend-mode,95.2,95.2,86.5,86.5
service-workers,86.5,90.1,89.9,86.5
storage-manager,100.0,88.3,86.4,86.4
zoom,94.5,86.4,93.7,86.4
audio-worklet,97.4,86.3,96.9,86.3
line-break,90.9,97.2,86.3,86.3
writing-mode,95.1,96.9,86.2,86.2
gpc,86.1,100.0,86.1,86.1
marker,98.8,87.5,86.0,86.0
change-event,85.7,100.0,92.9,85.7
image-orientation,93.9,91.8,85.7,85.7
user-pseudos,100.0,85.7,100.0,85.7
wasm-multi-value,85.7,85.7,85.7,85.7
color-scheme,98.8,98.1,85.6,85.6
largest-contentful-paint,95.7,89.7,85.5,85.5
mouse-events,89.3,95.8,85.1,85.1
abortable-fetch,95.1,85.0,96.1,85.0
device-memory,100.0,85.0,85.0,85.0
location,87.3,84.9,93.7,84.9
select,90.8,84.9,87.4,84.9
transitions,88.1,84.9,97.1,84.9
embed,100.0,84.8,87.9,84.8
overflow-shorthand,98.5,97.0,84.8,84.8
createimagebitmap,89.0,93.0,84.7,84.7
backdrop,100.0,84.6,84.6,84.6
fetch-priority,84.6,100.0,84.6,84.6
font-variant-position,84.6,100.0,84.6,84.6
intersection-observer,96.5,90.0,84.6,84.6
highlight,94.0,96.8,84.4,84.4
display-mode,100.0,84.2,84.2,84.2
inert,97.3,97.3,84.1,84.1
cookies,97.6,94.9,83.9,83.9
white-space,92.6,83.9,92.4,83.9
request-video-frame-callback,83.8,83.8,83.8,83.8
view-transitions,97.8,83.7,88.1,83.7
input,88.2,87.1,83.6,83.6
media-capabilities,86.1,83.8,83.6,83.6
font-stretch,96.8,83.5,97.1,83.5
navigation,91.8,88.3,83.5,83.5
ex,100.0,100.0,83.3,83.3
file-selector-button,100.0,100.0,83.3,83.3
fit-content,100.0,94.4,83.3,83.3
font-synthesis-style,83.3,100.0,83.3,83.3
inherit-value,83.3,83.3,83.3,83.3
is-secure-context,83.3,100.0,84.7,83.3
subgrid,99.3,83.3,95.6,83.3
pointer-lock,83.1,87.7,92.3,83.1
clip-path,96.0,82.7,83.3,82.7
webrtc,86.8,85.4,82.7,82.7
font-weight,93.5,82.6,89.1,82.6
word-break,87.5,88.8,82.5,82.5
placeholder-shown,100.0,100.0,82.4,82.4
wasm-bulk-memory,82.2,82.2,100.0,82.2
a,98.9,98.9,82.1,82.1
storage-access,98.3,100.0,82.1,82.1
aspect-ratio,99.6,97.7,81.9,81.9
canvas-createconicgradient,100.0,81.8,81.8,81.8
clipboard-events,100.0,100.0,81.8,81.8
history,93.3,86.7,81.8,81.8
